seller,product_count,avg_rate,total_reviews
اس پی ال,43,72.27906976744185,454
درواژ,29,72.27586206896552,3508
تک سلر,114,72.24561403508773,6361
طبیعت تنت,60,72.23333333333333,4732
مد برتر,54,72.22222222222223,10867
دنیای رنگ مو,27,72.22222222222223,9587
گالری به آرا,29,72.20689655172414,496
پارتاک سیتی,63,72.19047619047619,5955
نزدیک,76,72.1842105263158,859
پخش کوروش کمپ,121,72.18181818181819,9621
ایران ژیلت,35,72.17142857142858,17497
دورنا شاپ,60,72.16666666666667,10419
رامسر شاپ,27,72.14814814814815,3157
انتشارات گراد,29,72.13793103448276,293
سجاوود,31,72.12903225806451,2189
فروشگاه آشیل کالا,78,72.12820512820512,13911
دنیای شیرین نبات,120,72.11666666666666,551
مینیاتور پازل,36,72.11111111111111,151
لابراتوار غروی,489,72.10633946830266,72759
فمیلی استور,1071,72.10457516339869,15216
باشیلا,65,72.0923076923077,1161
گلسا,23,72.08695652173913,1582
پلی فکتوری,30,72.06666666666666,862
نشر مظفر,61,72.0327868852459,1943
جلوه آیات,46,72.0,2478
جویل,40,72.0,2021
معجزه قلم,136,71.95588235294117,6318
گالری دربار,55,71.92727272727272,2568
کاترینکا,79,71.87341772151899,398
نوشت افزار افق,42,71.85714285714286,2228
پی کی تحریر,37,71.83783783783784,4219
هرمیداس,173,71.82658959537572,5519
صفا پخش ماندگار,46,71.82608695652173,3423
روژان ماداکتو,31,71.80645161290323,20433
تاباتا,69,71.76811594202898,5787
کیریستین بیوتی,85,71.76470588235294,3192
مفیدا دات آی آر,24,71.75,311
کتاب ویدا,227,71.70925110132158,2452
پدیدار آوا,264,71.6969696969697,14636
اریایی,85,71.69411764705882,3211
زانکو چرم,50,71.68,3036
گالری اورلایا,303,71.65016501650165,4723
برند دیبا,49,71.63265306122449,14932
پاییزانه,173,71.61849710982659,38022
لاوین تجارت,95,71.57894736842105,4040
بازرگانی مهوان,648,71.56172839506173,137665
کوشا طب آویژه,65,71.53846153846153,2953
سراج کمپ,38,71.52631578947368,3222
فروشگاه آویده,33,71.51515151515152,694
پرانسیس بیوتی,37,71.51351351351352,1029
سپیدرو,24,71.5,5124
اوریران,72,71.5,1651
توسعه الکترونیک گردو ,133,71.48872180451127,2875
آلماندو,31,71.48387096774194,387
نوردخت شاپ,30,71.46666666666667,1589
اوراینکو,26,71.46153846153847,2105
ژولانیک,83,71.44578313253012,3388
آتی مارکت,111,71.44144144144144,5607
اینجاست آ ,93,71.44086021505376,21435
مکتب کمال,210,71.42857142857143,5998
با نی نی,41,71.41463414634147,2129
مستر راد,672,71.41071428571429,70497
کلاسیک کازمتیک,30,71.4,5821
تامین کالای تهرانی,76,71.39473684210526,1459
گرینو,33,71.39393939393939,849
پخش نمایندگی الماس,72,71.38888888888889,1833
تجارت گستر جنوب,49,71.38775510204081,1862
رضی واکس,35,71.37142857142857,1827
کمال اندیشه,394,71.31472081218274,4331
پارسیان آرت,107,71.30841121495327,6797
آروین زرین,119,71.29411764705883,9683
الیزابت,28,71.28571428571429,3665
صدرا طب سینوهه,37,71.24324324324324,1341
بهار شیراز,26,71.23076923076923,436
شاپنت,31,71.2258064516129,4067
شاپی فا,31,71.2258064516129,1916
ویرا پلاستیک,20,71.2,490
بازرگانی آدینه,60,71.16666666666667,9202
هارمونی بوک,456,71.16666666666667,17323
مستر سام,42,71.14285714285714,4497
تی تی بوک,37,71.13513513513513,633
زینگو بازی,233,71.13304721030043,3262
الماس هنر ایران,43,71.11627906976744,3336
ماد بانو,80,71.1,8046
ویرا آونگ رسام,31,71.03225806451613,372
دورهمی گیم,67,71.01492537313433,3977
پخش چیتگر,30,71.0,4707
جهان دخت,26,71.0,612
چم کیدز,62,71.0,12169
کالا تجهیز,24,71.0,1193
مهر افزون,135,70.99259259259259,16830
دمیلو,133,70.97744360902256,23337
کیمیانگار,25,70.96,551
کالج,119,70.94117647058823,12429
محسنی بوک,35,70.91428571428571,348
ارتامن,131,70.8854961832061,25187
عروسک ساز,47,70.85106382978724,1782
دانشی نو,58,70.82758620689656,4396
لیماک شاپ نوین,38,70.78947368421052,1791
آرسام تحریر,147,70.77551020408163,6070
طهورا پوش,84,70.76190476190476,8073
بهار کتاب,170,70.72941176470589,12111
هدایا تبلیغاتی پارسه,20,70.7,1316
کمپانی آذین بهدیس,30,70.66666666666667,6425
کفش رادین,41,70.63414634146342,7182
فروشگاه قصر زیبا,105,70.62857142857143,974
