category1,product_count,avg_price,price_stddev,coeff_of_variation
بادی اسپلش,1377,1858218,1328738.8222121333,0.72
کنسول خانگی,56,182068587,131275405.25972667,0.72
ورزش و سرگرمی,58,1667758,1146682.5423780356,0.69
تختخواب کودک و نوزاد,66,62609533,41234926.373919524,0.66
چاپ های سنتی,95,5212886,3405519.76320454,0.65
پتو کودک و نوزاد,238,4840911,3070186.162971888,0.63
تبلت,81,401754123,246382466.2699576,0.61
تست قند خون,31,6063638,3659201.662446553,0.6
بسته های لوازم تحریر,469,436623,259642.75828021768,0.59
ابزار طراحی و مهندسی,1885,421351,250041.07703607244,0.59
پشه بند,55,4499185,2498861.980642995,0.56
کنسرت,38,1270657,672478.4443974631,0.53
ملزومات هدیه,10171,543662,285165.11582129484,0.52
چمدان کودک,54,30754259,15538159.67367835,0.51
لوازم اداری,7129,573816,268980.5361284978,0.47
نوشت افزار,10385,519359,244278.33114344327,0.47
تشک مواج,10,48095000,21955541.568259154,0.46
سالنامه,455,586471,266269.2322034262,0.45
لوازم تم عکاسی کودک,13,1613846,687562.5845639855,0.43
سریال,258,1164102,491900.09052725165,0.42
ملحفه کودک و نوزاد,27,2015555,855333.1934368453,0.42
آموزش عکاسی و فیلم‌برداری,12,1408333,553744.8269133838,0.39
دفتر و کاغذ و مقوا,30057,642864,246908.4397923497,0.38
ابزار نقاشی و رنگ آمیزی,6689,726361,269958.04766335856,0.37
بالش کودک و نوزاد,1087,1793781,651821.0279693826,0.36
محصولات استخوانی,15,13224666,4634368.298248375,0.35
کیف، کوله و جامدادی,5407,778468,198398.03619865075,0.25
آلبوم عکس,21,763433,142812.79121049802,0.19
