seller,total_products,fake_count,fake_percent
نی نی دلتا,77,4,5.19
آویناپوش,154,8,5.19
من,135,7,5.19
خانه صورتی مشهد,39,2,5.13
ارت,39,2,5.13
مدو شاپ,137,7,5.11
اسپیتامن,59,3,5.08
نی نی استاپ,335,17,5.07
راد صنعت ایرانیان,237,12,5.06
ساحل استایل,20,1,5.0
ونوس طب,40,2,5.0
فروشگاه آلتزال ,20,1,5.0
هانا کالا,20,1,5.0
فرسام کالا,20,1,5.0
فایواستارز,40,2,5.0
فروشگاه رزیاست,20,1,5.0
 نیکسا گالری,40,2,5.0
جم لند,20,1,5.0
استار لوکسر,60,3,5.0
خرازی الی,40,2,5.0
کاردوربین,20,1,5.0
شین میم,20,1,5.0
پخش پارتاک,241,12,4.98
داستان اسباب بازی ها,505,25,4.95
گالری اس تایل,61,3,4.92
زیباروی مشرق,102,5,4.9
لیما مارکت,41,2,4.88
لباس زیر ماه,21,1,4.76
دهکده صورتی,21,1,4.76
چاپ آذرلاکچری,21,1,4.76
جوهری تحریر,21,1,4.76
پتیاک,21,1,4.76
شهرارزانی,21,1,4.76
هوم اپلاینس,21,1,4.76
کارا بالیک,21,1,4.76
پژواک زندگی,21,1,4.76
هاریکامزون,21,1,4.76
ماهسایان,21,1,4.76
هایپر برند,106,5,4.72
ترک پوش,256,12,4.69
کژال اسپرت,64,3,4.69
پیکانتو,1004,47,4.68
یس,107,5,4.67
تراولتراپی,107,5,4.67
کالا وان,129,6,4.65
لباس زیر مروا,43,2,4.65
اس پی ال,43,2,4.65
مایسا شاپ,130,6,4.62
ژوپی استور,153,7,4.58
مون گالری,110,5,4.55
روما هور,22,1,4.55
بنفشه مارکت,22,1,4.55
بازار نوین,66,3,4.55
بلک مارک,22,1,4.55
تجهیزات پزشکی سیب,44,2,4.55
مد و استایل دوستان,22,1,4.55
فروشگاه کمپینگ هرم چال,22,1,4.55
ژوان اپتیک,22,1,4.55
عروسک بهشتی,22,1,4.55
صیدوشکاراسکار,22,1,4.55
فروشگاه رایکا,374,17,4.55
عینک ساینا,45,2,4.44
ایکس پروداکتس,45,2,4.44
سارینا بیوتی,45,2,4.44
اینلاو,450,20,4.44
هنر افق تهران,203,9,4.43
فروشگاه کوهنوردی کراکس,226,10,4.42
مالربرو,23,1,4.35
آمیسی گالری,23,1,4.35
زیباشوباما,23,1,4.35
تکنوهوم,23,1,4.35
بتیسا,69,3,4.35
آس تجارت,23,1,4.35
آداناکالا,46,2,4.35
سپیمو,93,4,4.3
هاریکا کالا,70,3,4.29
لیلیان مد تجارت,47,2,4.26
ست لوکس,47,2,4.26
تازتا,47,2,4.26
ارمغان تجارت سبز,47,2,4.26
پارساراد,142,6,4.23
تجارت اریا,189,8,4.23
ارکا,71,3,4.23
هیل شاپ,284,12,4.23
پینک تویز,95,4,4.21
بازرگانی های کالا,119,5,4.2
ماریم,24,1,4.17
گالری هنری رز آبی,24,1,4.17
اتی مد,24,1,4.17
بژامد,24,1,4.17
بهین ماهور,24,1,4.17
پوشاک بنیس,96,4,4.17
اسمارت,24,1,4.17
بامبو استور,48,2,4.17
پخش کرامتی,24,1,4.17
دنیا استور,24,1,4.17
نوین ویژن,49,2,4.08
نسن پوش,123,5,4.07
بازرگانی زیو,124,5,4.03
آرمیس بیوتی,646,26,4.02
آلما استایل,374,15,4.01
آوای نی,25,1,4.0
 فروشگاه مهیاس,25,1,4.0
راحات گییم,25,1,4.0
چیمن راحتی,25,1,4.0
مهسان مد,25,1,4.0
سوال,25,1,4.0
اریباد,25,1,4.0
آرایشی دنیای زیبایی,25,1,4.0
آکام من,75,3,4.0
فروشگاه آدنیس,25,1,4.0
گلوریس,25,1,4.0
مهر سهند,50,2,4.0
ورزشی سعید اسپرت,25,1,4.0
نیکان مهرشهر,25,1,4.0
آماتیس مارکت,25,1,4.0
چیکا,101,4,3.96
گالری آسمان نیلی,76,3,3.95
نوین تجارت سام,153,6,3.92
بلک مون گالری,102,4,3.92
ترنگ شاپ,51,2,3.92
تولیدی رادین,77,3,3.9
فروشگاه جوپار,591,23,3.89
جیک,181,7,3.87
کالاوا,26,1,3.85
آدالان پوش,78,3,3.85
گالری پاتریکا,26,1,3.85
نلا,26,1,3.85
گلبرگ پوش,234,9,3.85
فروشگاه مجدالاشرافی,26,1,3.85
ماجراجویی,104,4,3.85
زیب زر اکسسوری,157,6,3.82
ناب ترین کالا,503,19,3.78
بیوتی سرای ایران,106,4,3.77
سرزمین عجایب آریا,53,2,3.77
پریچهر گالری,106,4,3.77
پیپرتس و لوپیلو,160,6,3.75
سیسمونی آیسان,80,3,3.75
گلدن باکس الف,510,19,3.73
اکسسوری بارلی,54,2,3.7
چرم ونوکس,27,1,3.7
ورزش کده,27,1,3.7
عالی قاپو,81,3,3.7
گرین استایل,27,1,3.7
دلربا,567,21,3.7
میس مد,27,1,3.7
چرم دیاکو,81,3,3.7
پازار,109,4,3.67
هایپر سیتی,137,5,3.65
تولیدی فانتزی,165,6,3.64
ارمیا آرت,55,2,3.64
تا بی تا,837,30,3.58
فریمند,84,3,3.57
اکو تک,112,4,3.57
